 Date,AXP Price Target,AXP Price Target - High,AXP Price Target - Low,AXP Price Target - StdDev,AXP Price Target - Median,AXP Open,AXP Low,AXP High,AXP Close,AXP Adj. Close,AXP Rating,AXP Price Target - #,Ticker
02-05-2013,64.79167,75,53,5.62716,64.0,51.787915924836,51.701285085216,52.75818132858,60.66,52.550267313492,3.58621,24,AXP
02-06-2013,64.79167,75,53,5.62716,64.0,51.917862184266,51.917862184266,52.680213572922,60.56,52.463636473872,3.58621,24,AXP
02-07-2013,64.875,75,53,5.68853,64.0,52.463636473872,52.45497338991,54.001333877127,62.14,53.832403739868,3.58621,24,AXP
02-08-2013,64.875,75,53,5.68853,64.0,53.763099068172,53.260640198376,53.997002335146,61.8,53.53785888516,3.58621,24,AXP
02-11-2013,64.875,75,53,5.68853,64.0,53.45122804554,53.156683190832,53.75443598421,61.98,53.693794396476,3.58621,24,AXP
02-12-2013,64.875,75,53,5.68853,64.0,53.789088320058,53.667805144590005,54.1953869578758,62.2,53.884382243640005,3.58621,24,AXP
02-13-2013,64.875,75,53,5.68853,64.0,54.10095934269,53.615826640818,54.369514945512,62.1,53.79775140402,3.58621,24,AXP
02-14-2013,64.875,75,53,5.68853,64.0,53.780425236096,53.563848137046,54.27422102193,62.34,54.005665419108006,3.58621,24,AXP
02-15-2013,64.91667,75,53,5.6783,64.5,54.204916350234,53.217324778566,54.300210273816,61.69,53.442564961578,3.58621,24,AXP
02-19-2013,64.91667,75,53,5.6783,64.5,53.425238793654,53.425238793654,54.05764392288,62.28,53.953686915336,3.58621,24,AXP
02-20-2013,65.16667,75,53,5.84998,64.5,53.763099068172,53.598500472894,54.118285510614,61.91,53.633152808742,3.58621,24,AXP
02-21-2013,65.16667,75,53,5.84998,64.5,53.598500472894,52.966095343668,53.7111205644,61.54,53.312618702148,3.58621,24,AXP
02-22-2013,65.16667,75,53,5.84998,64.5,53.589837388932,53.529195801198,54.213579434196,62.57,54.204916350234,3.60714,24,AXP
02-25-2013,65.16667,75,53,5.84998,64.5,54.378178029474,53.702457480438,54.5774289606,62.02,53.728446732324,3.60714,24,AXP
02-26-2013,65.16667,75,53,5.84998,64.5,53.763099068172,53.32128178611,53.867056075716,61.92,53.641815892704,3.60714,24,AXP
02-27-2013,65.16667,75,53,5.84998,64.5,53.477217297426,53.390586457806,54.23090560212,62.5,54.1442747625,3.60714,24,AXP
02-28-2013,65.16667,75,53,5.84998,64.5,54.083633174766,53.607163556856,54.27422102193,62.15,53.84106682383,3.60714,24,AXP
03-01-2013,65.16667,75,53,5.84998,64.5,53.572511221008,53.286629450262,54.135611678538,62.37,54.031654670994,3.60714,24,AXP
03-04-2013,65.16667,75,53,5.84998,64.5,53.901708411564,53.745772900248,54.5774289606,62.89,54.482135037018,3.60714,24,AXP
03-05-2013,65.16667,75,53,5.84998,64.5,54.802669143612,54.629407464372,55.807586883204,64.12,55.547694364344,3.60714,24,AXP
03-06-2013,65.16667,75,53,5.84998,64.5,55.798923799242,55.74694529546999,56.258067249228,64.65,56.006837814330005,3.60714,24,AXP
03-07-2013,65.30435,75,53,5.93761,65.0,56.076142486026,55.565020532268,56.20608874545599,64.56,55.928870058672,3.62963,23,AXP
03-08-2013,65.30435,75,53,5.93761,65.0,56.015500898292,55.157855586054,56.102131737912,64.7,56.050153234140005,3.62963,23,AXP
03-11-2013,65.30435,75,53,5.93761,65.0,56.076142486026,56.058816318102,56.84715695864401,65.5,56.7431999511,3.62963,23,AXP
03-12-2013,65.3913,75,53,5.88838,65.0,56.855820042606,56.362024256772,56.994429385998,65.29,56.561275187898005,3.62963,23,AXP
03-13-2013,65.3913,75,53,5.88838,65.0,56.517959768088,56.414002760544,56.82983079072,65.3,56.56993827186,3.62963,23,AXP
