 Date,CHTR Price Target,CHTR Price Target - High,CHTR Price Target - Low,CHTR Price Target - StdDev,CHTR Price Target - Median,CHTR Open,CHTR Low,CHTR High,CHTR Close,CHTR Adj. Close,CHTR Rating,CHTR Price Target - #,Ticker
02-05-2013,90.81801,115.0188,71.88675,10.11405,91.79385,85.445697,85.445697,92.402123,90.168104,90.168104,3.66667,17,CHTR
02-06-2013,91.17175,115.0188,71.88675,10.32279,91.79385,86.341517,86.341517,90.853461,89.637248,89.637248,3.61111,16,CHTR
02-07-2013,90.61417,115.0188,71.88675,10.42543,91.79385,89.261225,87.137801,91.36253,89.172749,89.172749,3.58824,15,CHTR
02-08-2013,89.49688,115.0188,71.88675,10.75291,89.58195,89.028975,88.498119,90.322937,89.460296,89.460296,3.46667,13,CHTR
02-11-2013,90.51775,115.0188,71.88675,10.71245,91.79385,89.095332,87.569121,89.095332,87.712895,87.712895,3.66667,13,CHTR
02-12-2013,90.51775,115.0188,71.88675,10.71245,91.79385,87.978323,87.635478,88.48706,88.476,88.476,3.66667,13,CHTR
02-13-2013,90.51775,115.0188,71.88675,10.71245,91.79385,89.438177,88.116567,89.482415,88.509179,88.509179,3.66667,13,CHTR
02-14-2013,90.51775,115.0188,71.88675,10.71245,91.79385,88.420703,87.502764,88.619774,87.900906,87.900906,3.66667,13,CHTR
02-15-2013,90.51775,115.0188,71.88675,10.71245,91.79385,87.889847,87.613359,88.111037,87.967263,87.967263,3.66667,13,CHTR
02-19-2013,90.51775,115.0188,71.88675,10.71245,91.79385,88.276929,87.447467,88.453881,87.801371,87.801371,3.66667,13,CHTR
02-20-2013,90.51775,115.0188,71.88675,10.71245,91.79385,87.911966,86.186684,88.188453,86.253041,86.253041,3.66667,13,CHTR
02-21-2013,90.51775,115.0188,71.88675,10.71245,91.79385,86.2641,84.262331,86.319398,85.191329,85.191329,3.66667,13,CHTR
02-22-2013,90.94312,115.0188,71.88675,10.33069,91.79385,87.712895,84.328688,95.465604,94.027869,94.027869,3.66667,13,CHTR
02-25-2013,93.41024,118.33665,79.6284,10.43455,92.8998,92.778146,91.705374,94.625082,92.125635,92.125635,3.66667,13,CHTR
02-26-2013,95.02663,118.33665,80.73435,9.78155,94.00575,92.888741,92.158814,96.195531,95.930103,95.930103,3.66667,13,CHTR
02-27-2013,95.02663,118.33665,80.73435,9.78155,94.00575,96.66003,94.945808,98.584383,96.361424,96.361424,3.66667,13,CHTR
02-28-2013,94.95371,118.33665,80.73435,9.42941,94.00575,96.151293,93.13205,96.494138,95.543021,95.543021,3.625,14,CHTR
03-01-2013,94.95371,118.33665,80.73435,9.42941,94.00575,94.857332,94.857332,96.129174,95.653616,95.653616,3.625,14,CHTR
03-04-2013,94.95371,118.33665,80.73435,9.42941,94.00575,95.012165,94.824153,96.22871,96.206591,96.206591,3.625,14,CHTR
03-05-2013,94.95371,118.33665,80.73435,9.42941,94.00575,96.173412,95.852687,96.958637,96.89228,96.89228,3.625,14,CHTR
03-06-2013,94.95371,118.33665,80.73435,9.42941,94.00575,97.478433,97.33466,100.530856,99.513381,99.513381,3.625,14,CHTR
03-07-2013,94.95371,118.33665,80.73435,9.42941,94.00575,100.199071,98.971466,100.199071,99.31431,99.31431,3.625,14,CHTR
