 Date,AMT Price Target,AMT Price Target - High,AMT Price Target - Low,AMT Price Target - StdDev,AMT Price Target - Median,AMT Open,AMT Low,AMT High,AMT Close,AMT Adj. Close,AMT Rating,AMT Price Target - #,Ticker
02-05-2013,85.26087,100,75,5.80268,85.0,63.31404343002901,63.10791618875401,63.470700133398005,76.73,63.264572892123006,4.16,23,AMT
02-06-2013,85.26087,100,75,5.80268,85.0,62.99248493364001,62.398838478768006,63.132651457707,75.95,62.62145589934501,4.16,23,AMT
02-07-2013,85.26087,100,75,5.80268,85.0,62.76162242341201,62.382348299466,63.050200561197,75.89,62.571985361439005,4.16,23,AMT
02-08-2013,85.26087,100,75,5.80268,85.0,62.464799195976006,62.291652313305,63.553151029908,77.06,63.536660850606005,4.16,23,AMT
02-11-2013,85.54545,100,75,5.77398,85.0,63.330533609331006,62.868808588875005,63.388249236888,76.38,62.975994754338,4.20833,22,AMT
02-12-2013,85.54545,100,75,5.77398,85.0,62.967749664687005,62.20920141679501,63.132651457707,75.59,62.32463267190901,4.20833,22,AMT
02-13-2013,85.54545,100,75,5.77398,85.0,62.365858120164006,60.675614741709005,62.41532865807,74.0,61.0136634174,4.20833,22,AMT
02-14-2013,85.54545,100,75,5.77398,85.0,60.741575458917005,59.82637050765601,60.947702700192,73.48,60.58491875554801,4.20833,22,AMT
02-15-2013,85.54545,100,75,5.77398,85.0,60.741575458917005,60.650879472756,62.05254471342601,75.18,61.98658399621801,4.20833,22,AMT
02-19-2013,85.54545,100,75,5.77398,85.0,62.14324069958701,60.99717323809801,62.25042686505,74.62,61.52485897576201,4.20833,22,AMT
02-20-2013,85.54545,100,75,5.77398,85.0,61.450653168903,60.947702700192,61.623800051574,73.95,60.972437969145005,4.20833,22,AMT
02-21-2013,85.54545,100,75,5.77398,85.0,60.799291086474,60.650879472756,61.112604493212,73.78,60.83227144507801,4.20833,22,AMT
02-22-2013,85.71429,100,75,5.85656,85.0,61.17856521042,61.137339762165006,61.829927292849,74.52,61.442408079252,4.20833,21,AMT
02-25-2013,85.71429,100,75,5.85656,85.0,61.681515679131,60.733330369266,62.40708356841901,73.66,60.733330369266,4.20833,21,AMT
02-26-2013,85.71429,100,75,5.85656,85.0,60.93121252089001,60.87357934422951,62.481289375278,75.51,62.25867195470101,4.20833,21,AMT
02-27-2013,85.80952,100,75,5.81148,85.0,62.25867195470101,62.0566672582515,64.385905084659,77.4,63.81699389874001,4.20833,21,AMT
